Sample	r_trimmed	pct_untrimmed	pct_trimmed	r_processed	r_untrimmed	r_empty_filtered	pct_avail	r_short_filtered	r_avail
6S1_S1_run1_L001_R1_001	3600022	29.9035205742	70.0964794258	5135810	1535788	0	100.0	0	5135810
6S1_S1_run2_L001_R1_001	3581525	23.8205508449	76.1794491551	4701433	1119907	0	99.9999787299	1	4701432
6S2_S2_run1_L001_R1_001	4034724	28.3829267418	71.6170732582	5633751	1599022	0	99.9999112492	5	5633746
6S2_S2_run2_L001_R1_001	7440785	22.3827383235	77.6172616765	9586516	2145723	0	99.9999165495	8	9586508
6S3_S3_run1_L001_R1_001	4194282	32.1070144246	67.8929855754	6177792	1983502	0	99.9998705039	8	6177784
6S3_S3_run2_L001_R1_001	5037776	25.9002497705	74.0997502295	6798648	1760865	0	99.9998970384	7	6798641
6S4_S4_run1_L001_R1_001	2531025	33.8459113727	66.1540886273	3825956	1294929	0	99.9999477255	2	3825954
6S4_S4_run2_L001_R1_001	2560195	25.7509028119	74.2490971881	3448119	887921	0	99.999912996	3	3448116
BL_S5_run1_L001_R1_001	4996398	29.1982811687	70.8017188313	7056911	2060490	0	99.9996740784	23	7056888
BL_S5_run2_L001_R1_001	4428871	23.6913871963	76.3086128037	5803911	1375023	0	99.9997070941	17	5803894
Undetermined_S0_run1_L001_R1_001	859596	43.0108396592	56.9891603408	1508353	648754	0	99.9998011076	3	1508350
Undetermined_S0_run2_L001_R1_001	350650	56.6304191877	43.3695808123	808519	457866	0	99.9996289512	3	808516
